Disaster Type,Subregion,Start Year,Region
Drought,Sub-Saharan Africa,2001,Africa
Drought,Northern Africa,2000,Africa
Drought,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Extreme temperature,Southern Asia,2000,Asia
Volcanic activity,Latin America and the Caribbean,2000,Americas
Storm,Southern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Sub-Saharan Africa,2000,Africa
Flood,Latin America and the Caribbean,2000,Americas
Extreme temperature,Southern Asia,2000,Asia
Storm,Northern America,2000,Americas
Earthquake,Southern Asia,2000,Asia
Storm,Eastern Europe,2000,Europe
Extreme temperature,Eastern Europe,2000,Europe
Earthquake,Eastern Asia,2000,Asia
Earthquake,Eastern Asia,2000,Asia
Storm,Sub-Saharan Africa,2000,Africa
Flood,South-eastern Asia,2000,Asia
Earthquake,Eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Storm,Eastern Asia,2000,Asia
Earthquake,Southern Asia,2000,Asia
Earthquake,Southern Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Storm,Northern America,2000,Americas
Earthquake,Northern Europe,2000,Europe
Flood,Sub-Saharan Africa,2000,Africa
Flood,Northern America,2000,Americas
Earthquake,Latin America and the Caribbean,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Volcanic activity,South-eastern Asia,2000,Asia
Extreme temperature,Northern Africa,2000,Africa
Storm,Western Asia,2000,Asia
Storm,Western Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Storm,Australia and New Zealand,2000,Oceania
Flood,Latin America and the Caribbean,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Sub-Saharan Africa,2000,Africa
Storm,Sub-Saharan Africa,2000,Africa
Storm,Sub-Saharan Africa,2000,Africa
Earthquake,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Wildfire,South-eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Northern America,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Storm,Southern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Storm,Eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Extreme temperature,Eastern Europe,2000,Europe
Flood,Eastern Europe,2000,Europe
Flood,Eastern Europe,2000,Europe
Storm,Northern America,2000,Americas
Volcanic activity,Eastern Asia,2000,Asia
Storm,Sub-Saharan Africa,2000,Africa
Storm,Sub-Saharan Africa,2000,Africa
Flood,Eastern Europe,2000,Europe
Flood,Eastern Europe,2000,Europe
Wildfire,Western Asia,2000,Asia
Flood,Eastern Europe,2000,Europe
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Eastern Asia,2000,Asia
Flood,Southern Europe,2000,Europe
Flood,Eastern Asia,2000,Asia
Flood,Eastern Europe,2000,Europe
Storm,Southern Asia,2000,Asia
Storm,Australia and New Zealand,2000,Oceania
Wildfire,Latin America and the Caribbean,2000,Americas
Wildfire,Eastern Europe,2000,Europe
Storm,Southern Asia,2000,Asia
Earthquake,South-eastern Asia,2000,Asia
Wildfire,Eastern Europe,2000,Europe
Flood,Northern America,2000,Americas
Flood,Central Asia,2000,Asia
Wildfire,Northern America,2000,Americas
Flood,Northern Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Storm,South-eastern Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Flood,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Extreme temperature,Eastern Europe,2000,Europe
Storm,Eastern Asia,2000,Asia
Flood,Northern America,2000,Americas
Earthquake,Western Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Flood,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Extreme temperature,Eastern Europe,2000,Europe
Flood,Eastern Europe,2000,Europe
Wildfire,Northern America,2000,Americas
Flood,Western Asia,2000,Asia
Storm,Southern Asia,2000,Asia
Earthquake,Western Asia,2000,Asia
Earthquake,South-eastern Asia,2000,Asia
Storm,Southern Asia,2000,Asia
Wildfire,Eastern Europe,2000,Europe
Flood,Northern America,2000,Americas
Flood,Northern America,2000,Americas
Earthquake,Eastern Asia,2000,Asia
Flood,Latin America and the Caribbean,2000,Americas
Flood,Eastern Asia,2000,Asia
Earthquake,Southern Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Storm,Western Europe,2000,Europe
Storm,Sub-Saharan Africa,2000,Africa
Flood,Latin America and the Caribbean,2000,Americas
Storm,Southern Asia,2000,Asia
Extreme temperature,Southern Europe,2000,Europe
Wildfire,Western Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Flood,Northern Europe,2000,Europe
Flood,Southern Asia,2000,Asia
Flood,Latin America and the Caribbean,2000,Americas
Earthquake,Northern Europe,2000,Europe
Extreme temperature,Eastern Europe,2000,Europe
Storm,Northern America,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Storm,Eastern Asia,2000,Asia
Extreme temperature,Southern Asia,2000,Asia
Flood,Eastern Europe,2000,Europe
Flood,Western Europe,2000,Europe
Flood,Western Europe,2000,Europe
Flood,Southern Europe,2000,Europe
Storm,Northern America,2000,Americas
Storm,South-eastern Asia,2000,Asia
Wildfire,Northern America,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Flood,Eastern Asia,2000,Asia
Flood,Southern Asia,2000,Asia
Flood,Latin America and the Caribbean,2000,Americas
Flood,Eastern Asia,2000,Asia
Extreme temperature,Southern Europe,2000,Europe
Extreme temperature,Eastern Europe,2000,Europe
Extreme temperature,Western Asia,2000,Asia
Extreme temperature,Eastern Europe,2000,Europe
Extreme temperature,Southern Europe,2000,Europe
Earthquake,Latin America and the Caribbean,2000,Americas
Flood,Eastern Europe,2000,Europe
Storm,South-eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Extreme temperature,Western Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,South-eastern Asia,2000,Asia
Wildfire,Northern America,2000,Americas
Wildfire,Eastern Europe,2000,Europe
Flood,South-eastern Asia,2000,Asia
Extreme temperature,Latin America and the Caribbean,2000,Americas
Storm,Northern America,2000,Americas
Extreme temperature,Latin America and the Caribbean,2000,Americas
Extreme temperature,Latin America and the Caribbean,2000,Americas
Extreme temperature,Latin America and the Caribbean,2000,Americas
Storm,Eastern Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Storm,Eastern Europe,2000,Europe
Earthquake,Eastern Asia,2000,Asia
Extreme temperature,Northern America,2000,Americas
Flood,South-eastern Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Flood,Southern Asia,2000,Asia
Flood,Southern Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Earthquake,South-eastern Asia,2000,Asia
Wildfire,Northern America,2000,Americas
Wildfire,Southern Europe,2000,Europe
Extreme temperature,Latin America and the Caribbean,2000,Americas
Storm,Northern America,2000,Americas
Storm,Sub-Saharan Africa,2000,Africa
Wildfire,Northern America,2000,Americas
Extreme temperature,Western Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Extreme temperature,Western Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,Southern Asia,2000,Asia
Flood,Eastern Europe,2000,Europe
Earthquake,Eastern Europe,2000,Europe
Flood,Southern Asia,2000,Asia
Flood,Northern Africa,2000,Africa
Extreme temperature,Latin America and the Caribbean,2000,Americas
Extreme temperature,Northern Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Flood,Southern Asia,2000,Asia
Flood,Northern America,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Flood,Northern America,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Eastern Europe,2000,Europe
Volcanic activity,Eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Wildfire,Eastern Europe,2000,Europe
Earthquake,Eastern Asia,2000,Asia
Wildfire,Southern Europe,2000,Europe
Wildfire,Southern Europe,2000,Europe
Flood,Sub-Saharan Africa,2000,Africa
Storm,Eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Flood,Southern Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Storm,South-eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,Eastern Europe,2000,Europe
Storm,Eastern Asia,2000,Asia
Flood,Northern Africa,2000,Africa
Wildfire,Western Asia,2000,Asia
Wildfire,Eastern Europe,2000,Europe
Flood,Southern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Flood,Australia and New Zealand,2000,Oceania
Storm,Eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Storm,Eastern Europe,2000,Europe
Flood,Southern Europe,2000,Europe
Wildfire,Southern Europe,2000,Europe
Storm,South-eastern Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Flood,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Flood,South-eastern Asia,2000,Asia
Earthquake,Northern America,2000,Americas
Storm,Eastern Asia,2000,Asia
Storm,Eastern Europe,2000,Europe
Storm,Eastern Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Storm,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Flood,Southern Asia,2000,Asia
Storm,Latin America and the Caribbean,2000,Americas
Flood,Eastern Europe,2000,Europe
Flood,Southern Asia,2000,Asia
Storm,Northern America,2000,Americas
Flood,Southern Asia,2000,Asia
Flood,Southern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Storm,Sub-Saharan Africa,2000,Africa
Flood,Latin America and the Caribbean,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Storm,Southern Asia,2000,Asia
Flood,Southern Europe,2000,Europe
Wildfire,Southern Europe,2000,Europe
Storm,Western Europe,2000,Europe
Wildfire,Southern Europe,2000,Europe
Storm,Latin America and the Caribbean,2000,Americas
Storm,Latin America and the Caribbean,2000,Americas
Storm,Latin America and the Caribbean,2000,Americas
Storm,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Storm,Northern America,2000,Americas
Earthquake,Sub-Saharan Africa,2000,Africa
Earthquake,Eastern Asia,2000,Asia
Wildfire,Australia and New Zealand,2000,Oceania
Flood,Northern Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Flood,Southern Europe,2000,Europe
Extreme temperature,Central Asia,2000,Asia
Flood,Eastern Asia,2000,Asia
Storm,Northern Europe,2000,Europe
Storm,South-eastern Asia,2000,Asia
Storm,Australia and New Zealand,2000,Oceania
Flood,Northern Europe,2000,Europe
Flood,Northern Africa,2000,Africa
Flood,Northern Africa,2000,Africa
Flood,Southern Europe,2000,Europe
Extreme temperature,Eastern Europe,2000,Europe
Storm,South-eastern Asia,2000,Asia
Storm,Eastern Asia,2000,Asia
Flood,Southern Europe,2000,Europe
Storm,Southern Asia,2000,Asia
Storm,Northern Europe,2000,Europe
Storm,South-eastern Asia,2000,Asia
Flood,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Storm,Sub-Saharan Africa,2000,Africa
Flood,Latin America and the Caribbean,2000,Americas
Flood,Southern Asia,2000,Asia
Flood,Southern Asia,2000,Asia
Flood,Southern Europe,2000,Europe
Earthquake,Central Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Earthquake,Melanesia,2000,Oceania
Flood,Australia and New Zealand,2000,Oceania
Flood,Southern Europe,2000,Europe
Storm,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Flood,South-eastern Asia,2000,Asia
Storm,Northern America,2000,Americas
Earthquake,South-eastern Asia,2000,Asia
Earthquake,South-eastern Asia,2000,Asia
Earthquake,Western Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Flood,Western Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Flood,South-eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Storm,Eastern Europe,2000,Europe
Storm,Southern Asia,2000,Asia
Storm,Sub-Saharan Africa,2000,Africa
Storm,South-eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,South-eastern Asia,2000,Asia
Flood,Western Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Volcanic activity,Latin America and the Caribbean,2000,Americas
Flood,Melanesia,2000,Oceania
Storm,Eastern Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Earthquake,Central Asia,2000,Asia
Flood,Western Europe,2000,Europe
Storm,Southern Europe,2000,Europe
Storm,Southern Europe,2000,Europe
Storm,Eastern Asia,2000,Asia
Extreme temperature,Latin America and the Caribbean,2000,Americas
Extreme temperature,Eastern Europe,2000,Europe
Storm,Southern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Storm,Southern Europe,2000,Europe
Storm,Northern America,2000,Americas
Storm,Latin America and the Caribbean,2000,Americas
Storm,Latin America and the Caribbean,2000,Americas
Flood,Northern Africa,2000,Africa
Storm,Northern Europe,2000,Europe
Storm,Australia and New Zealand,2000,Oceania
Storm,Northern Africa,2000,Africa
Flood,Northern Africa,2000,Africa
Wildfire,Latin America and the Caribbean,2000,Americas
Storm,Northern Europe,2000,Europe
Flood,Sub-Saharan Africa,2000,Africa
Flood,Southern Asia,2000,Asia
Flood,Northern America,2000,Americas
Flood,Southern Europe,2000,Europe
Flood,Southern Europe,2000,Europe
Flood,Latin America and the Caribbean,2000,Americas
Flood,Western Europe,2000,Europe
Storm,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Storm,Sub-Saharan Africa,2000,Africa
Storm,Northern America,2000,Americas
Flood,Eastern Asia,2000,Asia
Storm,Northern America,2000,Americas
Drought,Latin America and the Caribbean,2000,Americas
Drought,Western Asia,2000,Asia
Drought,Southern Asia,2000,Asia
Drought,Central Asia,2000,Asia
Drought,Southern Asia,2000,Asia
Drought,Eastern Asia,2000,Asia
Drought,Sub-Saharan Africa,2000,Africa
Drought,Eastern Europe,2000,Europe
Drought,Western Asia,2000,Asia
Drought,Eastern Europe,2000,Europe
Drought,Northern America,2000,Americas
Drought,Central Asia,2000,Asia
Drought,Western Asia,2000,Asia
Drought,Western Asia,2000,Asia
Drought,Western Asia,2000,Asia
Drought,Latin America and the Caribbean,2000,Americas
Drought,Eastern Asia,2000,Asia
Drought,Southern Europe,2000,Europe
Drought,Eastern Asia,2000,Asia
Drought,Eastern Asia,2000,Asia
Drought,Northern America,2000,Americas
Drought,Eastern Europe,2000,Europe
Drought,Latin America and the Caribbean,2000,Americas
Drought,Latin America and the Caribbean,2000,Americas
Drought,Latin America and the Caribbean,2000,Americas
Earthquake,Sub-Saharan Africa,2001,Africa
Storm,Eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Extreme temperature,Southern Asia,2001,Asia
Storm,Latin America and the Caribbean,2001,Americas
Earthquake,Latin America and the Caribbean,2001,Americas
Flood,Southern Europe,2001,Europe
Extreme temperature,Central Asia,2001,Asia
Extreme temperature,Eastern Europe,2001,Europe
Flood,Sub-Saharan Africa,2001,Africa
Flood,Sub-Saharan Africa,2001,Africa
Earthquake,Latin America and the Caribbean,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Extreme temperature,Southern Asia,2001,Asia
Extreme temperature,Southern Asia,2001,Asia
Flood,Australia and New Zealand,2001,Oceania
Flood,Latin America and the Caribbean,2001,Americas
Storm,Australia and New Zealand,2001,Oceania
Flood,Southern Europe,2001,Europe
Flood,Sub-Saharan Africa,2001,Africa
Earthquake,Southern Asia,2001,Asia
Earthquake,Southern Asia,2001,Asia
Storm,Sub-Saharan Africa,2001,Africa
Flood,Southern Europe,2001,Europe
Earthquake,Latin America and the Caribbean,2001,Americas
Storm,Australia and New Zealand,2001,Oceania
Flood,Southern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Storm,Northern America,2001,Americas
Flood,Latin America and the Caribbean,2001,Americas
Storm,South-eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Earthquake,Eastern Asia,2001,Asia
Flood,Western Europe,2001,Europe
Flood,Eastern Europe,2001,Europe
Flood,Sub-Saharan Africa,2001,Africa
Storm,Eastern Asia,2001,Asia
Earthquake,Southern Asia,2001,Asia
Flood,Australia and New Zealand,2001,Oceania
Flood,Sub-Saharan Africa,2001,Africa
Storm,Melanesia,2001,Oceania
Flood,Eastern Europe,2001,Europe
Flood,Eastern Europe,2001,Europe
Storm,Sub-Saharan Africa,2001,Africa
Earthquake,Northern America,2001,Americas
Storm,Northern America,2001,Americas
Flood,Australia and New Zealand,2001,Oceania
Storm,Western Asia,2001,Asia
Storm,Northern America,2001,Americas
Storm,Western Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Flood,Latin America and the Caribbean,2001,Americas
Flood,Latin America and the Caribbean,2001,Americas
Earthquake,Eastern Asia,2001,Asia
Flood,Australia and New Zealand,2001,Oceania
Flood,Northern Europe,2001,Europe
Storm,Melanesia,2001,Oceania
Storm,Northern America,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Storm,Latin America and the Caribbean,2001,Americas
Earthquake,Eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,South-eastern Asia,2001,Asia
Flood,Southern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,South-eastern Asia,2001,Asia
Flood,Western Asia,2001,Asia
Flood,Western Europe,2001,Europe
Storm,Northern America,2001,Americas
Storm,Southern Asia,2001,Asia
Storm,Southern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Flood,Latin America and the Caribbean,2001,Americas
Earthquake,Eastern Asia,2001,Asia
Storm,Melanesia,2001,Oceania
Flood,Eastern Europe,2001,Europe
Flood,Western Europe,2001,Europe
Earthquake,Southern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,Eastern Asia,2001,Asia
Storm,Northern America,2001,Americas
Flood,Southern Asia,2001,Asia
Storm,Western Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Volcanic activity,Melanesia,2001,Oceania
Storm,Eastern Europe,2001,Europe
Flood,Northern America,2001,Americas
Storm,Eastern Europe,2001,Europe
Storm,Northern America,2001,Americas
Storm,Southern Asia,2001,Asia
Flood,Northern America,2001,Americas
Storm,Northern America,2001,Americas
Flood,Latin America and the Caribbean,2001,Americas
Storm,Southern Asia,2001,Asia
Flood,Polynesia,2001,Oceania
Flood,Sub-Saharan Africa,2001,Africa
Flood,Sub-Saharan Africa,2001,Africa
Flood,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Flood,Eastern Europe,2001,Europe
Storm,Eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Earthquake,Latin America and the Caribbean,2001,Americas
Volcanic activity,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Storm,Australia and New Zealand,2001,Oceania
Wildfire,Northern America,2001,Americas
Flood,Eastern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,Western Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Storm,South-eastern Asia,2001,Asia
Storm,South-eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Flood,Western Europe,2001,Europe
Storm,Western Europe,2001,Europe
Flood,Southern Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Storm,Southern Asia,2001,Asia
Wildfire,Northern America,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Sub-Saharan Africa,2001,Africa
Earthquake,Melanesia,2001,Oceania
Flood,Southern Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Storm,Northern America,2001,Americas
Flood,Eastern Asia,2001,Asia
Storm,South-eastern Asia,2001,Asia
Earthquake,Western Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,Southern Asia,2001,Asia
Flood,Southern Asia,2001,Asia
Extreme temperature,Latin America and the Caribbean,2001,Americas
Volcanic activity,Southern Europe,2001,Europe
Storm,Western Europe,2001,Europe
Storm,Southern Europe,2001,Europe
Flood,Southern Asia,2001,Asia
Flood,Eastern Europe,2001,Europe
Earthquake,Eastern Asia,2001,Asia
Flood,Eastern Europe,2001,Europe
Flood,Eastern Europe,2001,Europe
Flood,Eastern Asia,2001,Asia
Flood,Southern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Flood,Western Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Extreme temperature,Eastern Europe,2001,Europe
Storm,Eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Flood,Eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Flood,Northern Africa,2001,Africa
Storm,Eastern Asia,2001,Asia
Flood,Eastern Europe,2001,Europe
Storm,Western Asia,2001,Asia
Storm,South-eastern Asia,2001,Asia
Wildfire,Latin America and the Caribbean,2001,Americas
Flood,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Flood,South-eastern Asia,2001,Asia
Wildfire,Northern America,2001,Americas
Flood,Southern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Volcanic activity,Latin America and the Caribbean,2001,Americas
Flood,Southern Asia,2001,Asia
Flood,Northern America,2001,Americas
Volcanic activity,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Flood,Southern Asia,2001,Asia
Flood,Latin America and the Caribbean,2001,Americas
Storm,Northern America,2001,Americas
Storm,Northern America,2001,Americas
Storm,Eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Storm,Northern America,2001,Americas
Flood,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Extreme temperature,Latin America and the Caribbean,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Flood,South-eastern Asia,2001,Asia
Storm,Eastern Asia,2001,Asia
Storm,Latin America and the Caribbean,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Flood,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Wildfire,Latin America and the Caribbean,2001,Americas
Wildfire,Sub-Saharan Africa,2001,Africa
Flood,Southern Asia,2001,Asia
Wildfire,Eastern Europe,2001,Europe
Flood,South-eastern Asia,2001,Asia
Wildfire,Sub-Saharan Africa,2001,Africa
Storm,Eastern Asia,2001,Asia
Flood,Southern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Storm,Eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Storm,Eastern Asia,2001,Asia
Flood,Southern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Flood,Central Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Flood,Southern Europe,2001,Europe
Flood,Sub-Saharan Africa,2001,Africa
Storm,Latin America and the Caribbean,2001,Americas
Flood,Southern Asia,2001,Asia
Earthquake,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Storm,Latin America and the Caribbean,2001,Americas
Wildfire,Southern Europe,2001,Europe
Flood,Latin America and the Caribbean,2001,Americas
Storm,Sub-Saharan Africa,2001,Africa
Flood,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Southern Asia,2001,Asia
Storm,Northern America,2001,Americas
Storm,Northern America,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Flood,Eastern Asia,2001,Asia
Storm,Latin America and the Caribbean,2001,Americas
Wildfire,Eastern Europe,2001,Europe
Extreme temperature,Eastern Europe,2001,Europe
Flood,Latin America and the Caribbean,2001,Americas
Storm,Western Europe,2001,Europe
Storm,Southern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Earthquake,Eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Storm,Northern America,2001,Americas
Storm,Northern America,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Storm,South-eastern Asia,2001,Asia
Storm,Latin America and the Caribbean,2001,Americas
Flood,Northern Africa,2001,Africa
Storm,Southern Europe,2001,Europe
Storm,South-eastern Asia,2001,Asia
Flood,Northern Africa,2001,Africa
Flood,Southern Europe,2001,Europe
Flood,Sub-Saharan Africa,2001,Africa
Flood,Northern Europe,2001,Europe
Flood,South-eastern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Flood,South-eastern Asia,2001,Asia
Wildfire,Australia and New Zealand,2001,Oceania
Storm,Polynesia,2001,Oceania
Extreme temperature,Eastern Europe,2001,Europe
Extreme temperature,Eastern Europe,2001,Europe
Flood,Sub-Saharan Africa,2001,Africa
Flood,Western Asia,2001,Asia
Extreme temperature,Southern Asia,2001,Asia
Earthquake,South-eastern Asia,2001,Asia
Storm,Latin America and the Caribbean,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Extreme temperature,Western Europe,2001,Europe
Extreme temperature,Southern Asia,2001,Asia
Flood,Sub-Saharan Africa,2001,Africa
Flood,Sub-Saharan Africa,2001,Africa
Extreme temperature,Eastern Europe,2001,Europe
Extreme temperature,Western Asia,2001,Asia
Storm,Sub-Saharan Africa,2001,Africa
Storm,Sub-Saharan Africa,2001,Africa
Extreme temperature,Southern Europe,2001,Europe
Flood,South-eastern Asia,2001,Asia
Flood,Northern Africa,2001,Africa
Flood,Latin America and the Caribbean,2001,Americas
Wildfire,Australia and New Zealand,2001,Oceania
Storm,Eastern Europe,2001,Europe
Flood,Latin America and the Caribbean,2001,Americas
Flood,Sub-Saharan Africa,2001,Africa
Storm,Polynesia,2001,Oceania
Flood,Latin America and the Caribbean,2001,Americas
Extreme temperature,Northern Europe,2001,Europe
Extreme temperature,Northern Europe,2001,Europe
Flood,South-eastern Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Flood,South-eastern Asia,2001,Asia
Wildfire,Northern America,2001,Americas
Flood,Latin America and the Caribbean,2001,Americas
Flood,Northern America,2001,Americas
Storm,Southern Asia,2001,Asia
Volcanic activity,Sub-Saharan Africa,2001,Africa
Extreme temperature,Southern Asia,2001,Asia
Storm,Latin America and the Caribbean,2001,Americas
Storm,Latin America and the Caribbean,2001,Americas
Flood,Latin America and the Caribbean,2001,Americas
Flood,Southern Europe,2001,Europe
Flood,Eastern Asia,2001,Asia
Flood,Eastern Asia,2001,Asia
Flood,Western Europe,2001,Europe
Flood,South-eastern Asia,2001,Asia
